age,r,a,b,c,value
43,0.766177938282763,1,0,0,8.85033189128301
49,0.828400459237256,0,0,0,4.4343858786831
40,0.577937175344485,1,0,0,3.51149367189083
34,0.442335416512998,0,0,1,1.74041841606955
44,0.679305815935273,0,0,0,19.4645520118499
49,0.648833176469343,1,0,0,13.9044759952064
48,0.152976540317056,0,1,1,0.376497679590209
42,0.376625010742367,0,1,1,0.135279511349352
39,0.780306552596093,1,0,0,0.144372429288463
30,0.730498835935973,1,0,0,2.38978980892127
22,0.165428688457216,0,1,1,11.1690080203034
32,0.226347417518142,1,1,1,152.110630991501
39,0.613991111356063,1,0,0,3.18597746463763
42,0.615821233296141,1,0,0,68.9397626173421
44,0.085832933309765,0,1,1,0.657123703744871
44,0.596833659574853,0,0,0,0.42377925292104
35,0.05939047662022,0,0,1,6.94722532683053
36,0.061904475905915,0,1,1,8.31317836090983
50,0.494262426770434,1,1,1,0.577822872676662
36,0.104771600575286,0,0,1,0.761025270171796
26,0.131086923443054,0,1,1,0.592224794794271
34,0.097086894252022,0,1,1,0.894418730210777
35,0.324120472337743,1,0,1,73.7306870298725
44,0.607295051758542,0,0,0,8.69452831097202
33,0.964589726177017,1,0,0,0.464749907162201
41,0.45249163697394,1,0,1,4.97987625224642
44,0.53568776010609,0,1,0,0.44347936711719
29,0.686410730571979,1,1,0,0.118446963609825
20,0.345395256655297,0,0,1,25.935114049158
41,0.973575447122688,1,0,0,0.908235721857187
29,0.206678710647274,0,1,1,6.7267954440475
39,0.856210584399195,1,0,0,271.237344340508
38,0.576446829454603,1,0,0,0.238628178984889
22,0.237988192232403,0,1,1,14.2100179043664
45,0.946345173430377,1,0,0,3.83594624197244
22,0.590131968909186,1,0,0,14.7629104688952
30,0.630969062610416,0,0,0,78.1020785085261
34,0.643553645896552,0,0,0,3.82049365230266
36,0.265451660483968,0,1,1,3.43386327191018
38,0.209767419004278,0,1,1,4.98935818177764
49,0.727151785242589,1,0,0,1.34591247151732
29,0.702901644614067,0,0,0,3.0952652573177
25,0.045496773503768,0,1,1,0.960368368038014
23,0.629634828488042,1,1,0,6.04812236408672
47,0.152304024690223,0,1,1,86.6217469716367
32,0.93776381406391,1,0,0,7.6631318538852
36,0.07722606619182,0,1,1,1.32341355569473
28,0.750987997453531,1,0,0,1.24086890061533
34,0.78774530170728,1,0,0,2.24745534088513
24,0.661781645408519,1,0,0,0.455175023709394
41,0.711010495933532,1,0,0,200.507636747483
44,0.13491825839601,0,1,1,1.86843609061331
30,0.893947970595826,0,0,0,2.58080405731325
36,0.731887898740686,1,0,0,0.282725821887269
38,0.007887215127507,0,1,1,0.703528661900445
28,0.063043074899355,0,1,1,1.75130187384933
34,0.565027959551474,0,0,0,0.564714816128371
33,0.975287211208835,1,0,0,0.334764488226724
41,0.980775187553097,1,0,0,1.95600889246935
40,0.8220057225613,1,0,0,0.050515907233143
43,0.136810482716339,0,1,1,10.2624486077323
20,0.1309469786009,0,1,1,4.73637801583176
43,0.523948212096085,0,0,0,28.2935638746247
42,0.378292873520342,0,0,1,2.6295208967894
21,0.346240762572998,0,1,1,1.58384832207056
28,0.762803762514813,1,0,0,0.267469189915948
36,0.515477560715437,1,0,0,1.83215819273157
48,0.724653387309114,1,1,0,0.231739090216783
21,0.410523443496142,1,0,1,0.162213302381955
43,0.82995674295687,1,0,0,2.20284474210236
46,0.698052577786648,1,0,0,0.097524904502225
28,0.300718697671168,0,0,1,14.0724406415504
29,0.852687287301734,1,0,0,60.4905674931412
34,0.731762386879913,1,0,0,0.482142230465546
26,0.507247737665186,1,0,0,67.8330955501086
37,0.229873711222774,1,1,1,61.5311935263032
37,0.285481334415688,1,0,1,2.47959727466198
50,0.094970462572394,0,1,1,1.66359628951611
38,0.606188474774296,1,0,0,24.1339344102397
42,0.593700681513522,1,0,0,0.050249805625755
45,0.92110791341675,1,0,0,0.502233316349963
26,0.403232788986706,0,0,1,39.0705829373536
34,0.769310932486189,0,0,0,0.630862894074571
43,0.504021777879965,0,1,0,0.557731283832692
35,0.472023627143852,0,1,1,4.36172970998305
29,0.384682410480041,0,0,1,2.68009407473729
42,0.952357937139783,1,0,0,5.95961740371712
36,0.177457838893532,0,1,1,0.675799023715455
26,0.380319091023403,1,1,1,183.013924872335
22,0.918387694303303,1,0,0,6.87646642038545
47,0.509929834723559,0,0,0,0.073730702653775
40,0.21499955353768,0,0,1,3.11869327735043
50,0.499215547666787,0,1,1,4.98248645125143
32,0.959855621235984,1,0,0,10.0970945523193
42,0.512725328147353,1,1,0,5.60824319713034
45,0.030717318044228,0,1,1,0.761912293330235
21,0.711754572486426,0,0,0,2.73473711113607
32,0.958389424367306,1,0,0,3.33080359334272
32,0.756520027900571,1,1,0,1.19410240269741
49,0.073644827049592,0,1,1,0.052568773134566
41,0.958992422764463,1,0,0,157.907850130018
23,0.111877609226777,0,1,1,9.94843690945127
33,0.006114763738949,0,1,1,23.7338787442115
37,0.06635928632738,0,1,1,9.55927224269836
35,0.541250315977299,0,0,0,0.074870459904432
43,0.185402850371059,0,0,1,2.50476862317177
45,0.325061348714156,1,0,1,0.851017732351841
43,0.257038285035152,0,1,1,20.5459815854686
50,0.074314916639294,0,1,1,1.81144297308892
24,0.025542065440581,0,1,1,7.38155170954078
50,0.744148098533022,0,0,0,1.11033831794675
44,0.749669281659237,0,0,0,1.78596094726174
28,0.991165036023206,1,0,0,3.28097664735659
38,0.551339617837371,0,0,0,0.523594264312709
20,0.270377305264954,0,1,1,3.52033193429233
39,0.338470387141282,0,0,1,0.90059336519262
36,0.731363689232783,1,1,0,0.787855951016141
35,0.997356183695428,1,0,0,52.0219700305679
28,0.878213883848089,0,1,0,1.89083968562684
25,0.1263972493938,0,1,1,3.44080627339425
20,0.395239616109719,1,1,1,0.161209886293631
20,0.905462019075907,1,0,0,1.03016853536795
27,0.929104861804491,1,0,0,20.7159784558659
34,0.797801465791785,1,0,0,13.3179276164567
42,0.212470845026777,0,0,1,4.49183697401327
34,0.507818055578866,1,1,0,29.0927997103857
30,0.213981639671949,0,1,1,0.196657101438795
35,0.240122073178051,0,1,1,0.078504272405901
50,0.272429125965857,0,1,1,5.28920685922083
31,0.255877159568788,0,1,1,0.177286905554563
40,0.257926384744357,0,1,1,0.602525367236748
29,0.004490572427504,0,1,1,0.125787407326028
48,0.733583019124538,1,0,0,5.43080117512002
28,0.964217291033186,1,0,0,29.4393466198352
33,0.826946132023285,1,0,0,1.33522779272088
20,0.504564509036974,1,0,0,0.347343602459857
22,0.766878834754548,0,0,0,37.4097178269008
23,0.841139093746737,0,0,0,8.89076502048876
33,0.607228880201082,1,0,0,5.30278474264764
38,0.606654038958241,1,0,0,0.285400438966261
46,0.173319366427482,0,1,1,45.9129933557078
47,0.193765990994689,0,1,1,2.07548422288597
33,0.320320286750119,0,1,1,14.2375667093986
31,0.090310127676882,0,1,1,0.897530458691734
44,0.771905053341526,1,0,0,0.211309278216957
20,0.853572573479589,1,0,0,13.6618245762058
40,0.14319638555303,0,1,1,9.08022747260188
49,0.836262665906245,1,0,0,5.30073700572484
38,0.134567680978452,0,1,1,0.317669413229423
37,0.509989112291776,1,1,0,0.175440255435477
21,0.945079192122579,1,1,0,3.62466785904811
21,0.295424316252626,0,1,1,12.3645337291352
30,0.62137533700216,0,1,0,0.039424502687445
28,0.592276862381667,1,1,0,7.19666653212359
46,0.117858887619379,0,1,1,2.56270386655858
22,0.723264446863615,1,1,0,23.0677695417813
49,0.616070989053288,1,0,0,14.4216252445942
44,0.973306882409874,1,0,0,0.159985064943829
50,0.249969111778555,0,1,1,115.3885582239
43,0.555092477240997,0,0,0,0.271497133815501
50,0.822725891746344,1,0,0,33.6528322256825
36,0.406862115443973,1,1,1,1.6317025406121
26,0.802863463869119,1,0,0,0.388250011038674
37,0.892997820323322,1,0,0,0.174140452882473
26,0.589838765528838,1,1,0,0.383583818403767
37,0.709214944939956,0,1,0,7.09601150173554
40,0.557697342727141,1,0,0,0.741945324937668
39,0.434676018218197,0,0,1,17.2646084069033
37,0.084743865857965,0,0,1,2.16082535640799
48,0.087066501889842,0,1,1,1.86111521180234
43,0.511487279704461,1,0,0,0.242639148999319
45,0.931500436563498,1,0,0,1.94352222921113
47,0.239018031890678,0,0,1,0.029911829889061
23,0.13746857011483,0,1,1,1.50359120289423
26,0.806623045912826,0,0,0,0.048663682952688
40,0.874583262181785,1,0,0,2.34214072797978
32,0.164038508273412,1,1,1,3.11002906034473
25,0.060767456736667,0,1,1,7.84519821766137
21,0.858059216411583,1,0,0,6.36292689364964
45,0.74292309438124,1,0,0,8.38794473365756
27,0.692985155656746,1,1,0,0.568774867035872
44,0.598942219725053,0,0,0,1.38155738114821
36,0.941911965854708,1,0,0,1.56185899567696
20,0.560044188970425,0,1,0,0.805818317358724
42,0.825711427470724,1,0,0,6.68486425106724
31,0.084061909116199,0,1,1,0.795546955442861
43,0.06797157479496,0,0,1,1.36038006005151
28,0.178588322944221,0,1,1,3.43169965093954
43,0.273352915868277,0,1,1,440.123588058985
44,0.571904241105493,1,0,0,1.05076190998842
33,0.955382292093235,1,0,0,4.65948159923521
35,0.906634139264118,1,0,0,16.6258803385858
30,0.412014186147001,0,0,1,0.588129761121128
24,0.966214408960591,1,0,0,3.17172295884933
26,0.360032316173376,1,1,1,1.18688920881079
25,0.498074253772933,0,1,1,0.650826789898691
41,0.617867782897611,0,0,0,13.915379560747
50,0.454327755250923,1,1,1,0.38188046276345
45,0.977297950713877,1,0,0,10.668007371448
37,0.395343263540956,1,1,1,2.79507331917609
42,0.095171187091496,0,0,1,18.5528738346457
40,0.235553680605507,0,0,1,3.6800407132129
48,0.525727437659527,1,1,0,41.651474179561
23,0.140667281928247,0,1,1,3.7266712389067
27,0.587050059937332,0,1,0,0.21449119167507
32,0.894444202972581,1,0,0,12.7387868997202
23,0.759911258417701,1,0,0,3.96848124973674
46,0.470557902861182,0,0,1,1.70940366866493
27,0.063680165489139,0,1,1,0.463389964078884
44,0.301698519066323,0,1,1,0.305043215856051
44,0.09336326120782,0,1,1,0.212479058433354
41,0.867817116473991,1,0,0,1.45490815758072
46,0.766030569876251,1,0,0,21.6490797199826
25,0.027100774314502,0,1,1,19.6417675016531
46,0.229084321590824,0,1,1,2.37855477767609
43,0.301887333633887,0,0,1,2.00552312863943
34,0.646800795955101,1,0,0,6.1999530629116
34,0.838996671747174,1,0,0,0.598267895754903
44,0.79807081229149,1,0,0,4.73020971333194
47,0.808924583888182,1,0,0,6.17615709788132
36,0.032432968057512,0,1,1,1.75986817291895
34,0.885486479244385,1,0,0,4.51398086023214
29,0.848721912469894,1,0,0,2.25325524689694
43,0.411110791916959,0,0,1,11.3893577637616
23,0.518774298332694,1,0,0,2.71540218697049
40,0.969636734262932,1,0,0,0.118382861404516
42,0.362813934675426,0,0,1,0.359625451198711
21,0.194048399602473,0,0,1,11.1433179791448
44,0.405387346812184,1,1,1,0.236212099611648
22,0.030913433460859,1,1,1,13.0150331651479
46,0.847476512559838,1,0,0,1.52835758378829
27,0.804038541307714,1,0,0,2.28829110939935
24,0.990025300711603,1,0,0,0.044626543762801
38,0.886499593717263,0,0,0,0.048449127598338
38,0.535059898191289,1,1,0,6.04776429558945
47,0.66127459937599,1,0,0,7.38173241945417
36,0.563204867178268,1,1,0,3.37348730737883
49,0.035135462726093,0,1,1,100.717392614197
39,0.959614936363952,1,0,0,2.3034801303862
38,0.068219871212196,0,1,1,90.8205957234286
50,0.918684220620279,1,1,0,5.03777797359924
36,0.918815883224787,1,0,0,4.36736911370438
22,0.415612009420597,0,0,1,8.47050532218725
23,0.025990078715264,0,1,1,1.50097873651343
25,0.932559046109531,1,1,0,2.28671889020426
31,0.406959969171255,1,1,1,7.27158706014079
20,0.858459459737484,0,0,0,0.134375904645675
30,0.504032138984104,1,0,0,8.00401030093738
23,0.794496441471563,1,1,0,0.356181421520336
25,0.361567741366557,1,1,1,43.5546758997541
36,0.379365372968154,1,1,1,1.28559830461477
27,0.651017471819921,1,0,0,0.807812311541414
43,0.555974214383885,0,1,0,0.544713808255702
25,0.126695165512965,0,1,1,1.92471771658823
34,0.14061092708531,0,1,1,3.82528051539725
26,0.145883221062582,0,1,1,6.54942085681555
33,0.767126245441165,1,0,0,1.19391634167392
22,0.340949257499946,1,0,1,0.989612942773749
39,0.456857819703132,1,0,1,0.935402046202489
